id_cidade,nome_cidade,cod_estado
1,Afonso Cláudio,8
2,Água Doce do Norte,8
3,Águia Branca,8
4,Alegre,8
5,Alfredo Chaves,8
6,Alto Rio Novo,8
7,Anchieta,8
8,Apiacá,8
9,Aracruz,8
10,Atilio Vivacqua,8
11,Baixo Guandu,8
12,Barra de São Francisco,8
13,Boa Esperança,8
14,Bom Jesus do Norte,8
15,Brejetuba,8
16,Cachoeiro de Itapemirim,8
17,Cariacica,8
18,Castelo,8
19,Colatina,8
20,Conceição da Barra,8
21,Conceição do Castelo,8
22,Divino de São Lourenço,8
23,Domingos Martins,8
24,Dores do Rio Preto,8
25,Ecoporanga,8
26,Fundão,8
27,Governador Lindenberg,8
28,Guaçuí,8
29,Guarapari,8
30,Ibatiba,8
31,Ibiraçu,8
32,Ibitirama,8
33,Iconha,8
34,Irupi,8
35,Itaguaçu,8
36,Itapemirim,8
37,Itarana,8
38,Iúna,8
39,Jaguaré,8
40,Jerônimo Monteiro,8
41,João Neiva,8
42,Laranja da Terra,8
43,Linhares,8
44,Mantenópolis,8
45,Marataízes,8
46,Marechal Floriano,8
47,Marilândia,8
48,Mimoso do Sul,8
49,Montanha,8
50,Mucurici,8
51,Muniz Freire,8
52,Muqui,8
53,Nova Venécia,8
54,Pancas,8
55,Pedro Canário,8
56,Pinheiros,8
57,Piúma,8
58,Ponto Belo,8
59,Presidente Kennedy,8
60,Rio Bananal,8
61,Rio Novo do Sul,8
62,Santa Leopoldina,8
63,Santa Maria de Jetibá,8
64,Santa Teresa,8
65,São Domingos do Norte,8
66,São Gabriel da Palha,8
67,São José do Calçado,8
68,São Mateus,8
69,São Roque do Canaã,8
70,Serra,8
71,Sooretama,8
72,Vargem Alta,8
73,Venda Nova do Imigrante,8
74,Viana,8
75,Vila Pavão,8
76,Vila Valério,8
77,Vila Velha,8
78,Vitória,8
79,Acrelândia,1
80,Assis Brasil,1
81,Brasiléia,1
82,Bujari,1
83,Capixaba,1
84,Cruzeiro do Sul,1
85,Epitaciolândia,1
86,Feijó,1
87,Jordão,1
88,Mâncio Lima,1
89,Manoel Urbano,1
90,Marechal Thaumaturgo,1
91,Plácido de Castro,1
92,Porto Acre,1
93,Porto Walter,1
94,Rio Branco,1
95,Rodrigues Alves,1
96,Santa Rosa do Purus,1
97,Sena Madureira,1
98,Senador Guiomard,1
99,Tarauacá,1
100,Xapuri,1
101,Água Branca,2
102,Anadia,2
103,Arapiraca,2
104,Atalaia,2
105,Barra de Santo Antônio,2
106,Barra de São Miguel,2
107,Batalha,2
108,Belém,2
